threshold,num_samples,real_amp_l1,real_amp_ssim,real_support_iou,real_support_dice,real_support_volume_ratio,real_phase_mae_true_support
0.05,5000,0.006609370821644552,0.9452421184539795,0.5438902405083179,0.6994483507975936,1.6522341486155987,0.7031691275000572
0.075,5000,0.006171801550174132,0.9554520406723023,0.7250915825277567,0.83938059232831,1.286744107720256,0.3917365341901779
0.1,5000,0.006133600343205035,0.9556235525965691,0.7353049039334059,0.846197663730383,1.2484644480496645,0.3854803748190403
0.125,5000,0.006101208803581539,0.9556930708169937,0.7416433453321457,0.8503812922239303,1.2190780033409596,0.38259852120280263
0.15,5000,0.006069123818632215,0.9557534369468689,0.7461997958630323,0.8533683627665043,1.1935089472144842,0.38067534489035604
0.2,5000,0.006012557723326609,0.9557987937688828,0.7515528385341167,0.8568538492918014,1.155964001429081,0.37470201859772206
0.25,5000,0.005961604571784847,0.9557428218960762,0.7527078714996577,0.8575555461883545,1.1352987678438424,0.36788180059492587
0.3,5000,0.005915120892575942,0.9556140681624412,0.7529793814629316,0.8576978541493416,1.1085953377217055,0.36494733673334123
0.35,5000,0.005872069218521938,0.9554142395615578,0.7517819273322821,0.8568352133750915,1.0777585537880658,0.3655950074225664
0.4,5000,0.005800572540878784,0.9552452122092246,0.7480257095098496,0.8543118362307549,1.044589738535881,0.36824874916374684
