layer,channels,mean_abs_running_mean_delta,max_abs_running_mean_delta,relative_l2_running_mean_delta,mean_abs_running_var_delta,max_abs_running_var_delta,relative_l2_running_var_delta,batches_before,batches_after
layers.batch_normalization,32,0.062192581593990326,0.3230009078979492,0.014272456988692284,32.38491439819336,183.74853515625,0.01415923796594143,109410,1563
layers.batch_normalization_1,32,0.015421775169670582,0.056682586669921875,0.001556434785015881,3.2905986309051514,21.937255859375,0.0063321273773908615,109410,1563
layers.batch_normalization_2,64,0.01611843891441822,0.053017616271972656,0.004157633986324072,4.5390706062316895,26.1669921875,0.0028368632774800062,109410,1563
layers.batch_normalization_3,64,0.028737332671880722,0.11734199523925781,0.007812904193997383,2.8918752670288086,14.36456298828125,0.004024230409413576,109410,1563
layers.batch_normalization_4,128,0.037902604788541794,0.2170572280883789,0.005454817786812782,10.19627857208252,98.71826171875,0.002761346520856023,109410,1563
layers.batch_normalization_5,128,0.06779612600803375,0.5133705139160156,0.008138472214341164,11.175339698791504,66.1533203125,0.004279329441487789,109410,1563
layers.batch_normalization_6,256,0.14940206706523895,0.9138832092285156,0.008442291058599949,46.86114501953125,536.134765625,0.024751145392656326,109410,1563
layers.batch_normalization_7,256,0.1702432781457901,0.7760305404663086,0.007712498772889376,10.95331859588623,177.4609375,0.02005934529006481,109410,1563
layers.batch_normalization_8,512,0.47107642889022827,2.279144287109375,0.004804458003491163,67.32032012939453,601.9212036132812,0.005405989941209555,109410,1563
layers.batch_normalization_9,512,0.2974071800708771,1.76611328125,0.004261983558535576,85.21782684326172,501.8671875,0.006112269125878811,109410,1563
layers.batch_normalization_10,256,0.3525148630142212,3.016998291015625,0.0022573545575141907,157.0785675048828,957.3125,0.00450517050921917,109410,1563
layers.batch_normalization_11,256,0.07742112874984741,0.9815654754638672,0.004715383518487215,62.71866989135742,337.275390625,0.023143406957387924,109410,1563
layers.batch_normalization_12,128,0.14447949826717377,0.5784931182861328,0.0034625343978405,64.77552795410156,420.6796875,0.003930248320102692,109410,1563
layers.batch_normalization_13,128,0.06032320111989975,0.3799324035644531,0.0035499201621860266,7.274839401245117,63.0615234375,0.0031189469154924154,109410,1563
layers.batch_normalization_14,64,0.06474712491035461,0.240997314453125,0.004397275857627392,7.960705280303955,75.93017578125,0.007440989837050438,109410,1563
layers.batch_normalization_15,64,0.034216612577438354,0.1522207260131836,0.0053369165398180485,1.6613584756851196,12.578170776367188,0.006665893364697695,109410,1563
layers.batch_normalization_16,32,0.005668158642947674,0.019726991653442383,0.0057583278976380825,0.26701128482818604,1.7923126220703125,0.008586590178310871,109410,1563
layers.batch_normalization_17,32,0.0105748251080513,0.03810262680053711,0.0022695406805723906,0.9269500970840454,4.6754150390625,0.002268626820296049,109410,1563
layers.batch_normalization_18,128,0.3874092996120453,2.7059478759765625,0.0028503122739493847,173.7525634765625,1093.2734375,0.004677136428654194,109410,1563
layers.batch_normalization_19,128,0.08506447076797485,0.8000354766845703,0.004858522675931454,20.683000564575195,202.55615234375,0.013098245486617088,109410,1563
layers.batch_normalization_20,128,0.08006064593791962,0.3747520446777344,0.0030764492694288492,51.432518005371094,231.306640625,0.008073330856859684,109410,1563
layers.batch_normalization_21,128,0.09790387004613876,0.34143829345703125,0.0038532258477061987,18.67635726928711,120.4619140625,0.0055134785361588,109410,1563
layers.batch_normalization_22,64,0.05956744775176048,0.2108612060546875,0.003175326157361269,5.060822010040283,26.66943359375,0.003897203831002116,109410,1563
layers.batch_normalization_23,64,0.02529701218008995,0.14240264892578125,0.003997591324150562,1.2975208759307861,12.55865478515625,0.0049151103012263775,109410,1563
layers.batch_normalization_24,32,0.004892382770776749,0.013002872467041016,0.002505928510800004,0.27230754494667053,0.830169677734375,0.002915119519457221,109410,1563
layers.batch_normalization_25,32,0.021027885377407074,0.08513069152832031,0.0028260948602110147,5.819949626922607,21.4541015625,0.0019003173802047968,109410,1563
amp_fuse8.bn,256,0.13492213189601898,1.3291473388671875,0.0058019948191940784,13.982930183410645,107.1917724609375,0.0073226881213486195,109410,1563
amp_fuse16.bn,128,0.09411963075399399,0.5474014282226562,0.006092265713959932,7.672819137573242,60.3662109375,0.005192125681787729,109410,1563
phase_fuse8.bn,128,0.16365554928779602,1.2710037231445312,0.007538667414337397,15.983826637268066,88.704345703125,0.010303620249032974,109410,1563
phase_fuse16.bn,128,0.13720177114009857,0.7434272766113281,0.006158920004963875,14.621967315673828,155.193359375,0.008194872178137302,109410,1563
