2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-08-31 23:40:45 | INFO    | Epoch budget | train=5033/5033 batches (80528 observations), reshuffled each epoch | val=212/212 batches, fixed order
2026-08-31 23:41:22 | INFO    | TRAIN | epoch=001/030 | batch=00050/05033 | loss=9.439442e-01 | stage_elapsed=00:00:37 | stage_eta=01:00:52 | data_wait=3.23s
2026-08-31 23:41:56 | INFO    | TRAIN | epoch=001/030 | batch=00100/05033 | loss=9.449015e-01 | stage_elapsed=00:01:11 | stage_eta=00:58:10 | data_wait=3.25s
2026-08-31 23:42:27 | INFO    | TRAIN | epoch=001/030 | batch=00150/05033 | loss=9.312741e-01 | stage_elapsed=00:01:42 | stage_eta=00:55:10 | data_wait=3.26s
2026-08-31 23:43:00 | INFO    | TRAIN | epoch=001/030 | batch=00200/05033 | loss=8.830192e-01 | stage_elapsed=00:02:15 | stage_eta=00:54:31 | data_wait=3.28s
2026-08-31 23:43:34 | INFO    | TRAIN | epoch=001/030 | batch=00250/05033 | loss=8.039846e-01 | stage_elapsed=00:02:49 | stage_eta=00:53:46 | data_wait=3.30s
2026-08-31 23:44:05 | INFO    | TRAIN | epoch=001/030 | batch=00300/05033 | loss=8.444692e-01 | stage_elapsed=00:03:20 | stage_eta=00:52:35 | data_wait=3.32s
2026-08-31 23:44:39 | INFO    | TRAIN | epoch=001/030 | batch=00350/05033 | loss=7.519553e-01 | stage_elapsed=00:03:54 | stage_eta=00:52:13 | data_wait=3.33s
2026-08-31 23:45:12 | INFO    | TRAIN | epoch=001/030 | batch=00400/05033 | loss=8.409772e-01 | stage_elapsed=00:04:27 | stage_eta=00:51:27 | data_wait=3.35s
2026-08-31 23:45:45 | INFO    | TRAIN | epoch=001/030 | batch=00450/05033 | loss=8.374743e-01 | stage_elapsed=00:05:00 | stage_eta=00:50:55 | data_wait=3.36s
2026-08-31 23:46:19 | INFO    | TRAIN | epoch=001/030 | batch=00500/05033 | loss=7.537146e-01 | stage_elapsed=00:05:34 | stage_eta=00:50:31 | data_wait=3.37s
2026-08-31 23:46:53 | INFO    | TRAIN | epoch=001/030 | batch=00550/05033 | loss=7.909982e-01 | stage_elapsed=00:06:08 | stage_eta=00:50:02 | data_wait=3.38s
