name,chi2_modulus,inference_ms,paper_modulus_mae,pearson_corr,pearson_loss,phase_wca,phase_wca_direct,phase_wca_inverted,real_amp_global_ssim,real_amp_l1,real_amp_mse,real_amp_rel_l1,real_amp_rmse,real_amp_ssim,real_phase_l1_true_support,real_phase_mae_intersection,real_phase_mae_true_support,real_phase_mse_true_support,real_phase_rel_l1_true_support,real_phase_rmse_true_support,real_support_dice,real_support_iou,real_support_l1,real_support_mse,real_support_pred_fraction,real_support_rel_l1,real_support_rmse,real_support_true_fraction,real_support_volume_ratio,relative_l1_modulus,relative_log_mse,twin_flip_selected,voxel_mse,voxel_rmse
val_diff_000000,7.177919825358814e-14,21.822343826293945,7.829438800399657e-06,1.0,0.0,0.6210179924964905,0.6210179924964905,0.9762716293334961,0.9772416949272156,0.003857329022139311,0.000861728098243475,0.1423734873533249,0.029355376958847046,0.9733338356018066,0.1451394110918045,0.1073317900300026,0.1451394110918045,0.09172230213880539,0.15098752081394196,0.3028569221496582,0.9598330855369568,0.9227682948112488,0.00293731689453125,0.00293731689453125,0.036724090576171875,0.08068741858005524,0.05419711023569107,0.036403656005859375,1.0088022947311401,6.633119369325868e-07,3.5455165279391077e-12,0.0,3.937535852926999e-10,0.00010194975766353309
val_diff_000001,7.737757781517071e-14,21.822343826293945,9.175991181109566e-06,1.0000001192092896,-1.1920928955078125e-07,0.6066259145736694,0.6066259145736694,0.993444561958313,0.9784836769104004,0.004611515905708075,0.0010661990381777287,0.14739128947257996,0.032652854919433594,0.9737071990966797,0.15527871251106262,0.1460466980934143,0.15527871251106262,0.06262189149856567,0.4280698597431183,0.2502436935901642,0.9644399285316467,0.9313220977783203,0.002544403076171875,0.002544403076171875,0.036067962646484375,0.07170500606298447,0.050442174077034,0.03548431396484375,1.0164480209350586,6.889533779030899e-07,4.7118528696821205e-12,0.0,5.841146455409785e-10,0.00010287913028150797
val_diff_000002,9.295601126942804e-14,21.822343826293945,6.199599738465622e-06,1.0,0.0,0.7717390060424805,0.984438419342041,0.7717390060424805,0.94402015209198,0.0033163591288030148,0.0010910917771980166,0.25773391127586365,0.033031828701496124,0.9746043086051941,0.24329613149166107,0.15336906909942627,0.24329613149166107,0.26564499735832214,0.19246108829975128,0.5154076218605042,0.9071274399757385,0.8300395011901855,0.0032806396484375,0.0032806396484375,0.018428802490234375,0.19417475163936615,0.05727695673704147,0.016895294189453125,1.090765357017517,5.648819296766305e-07,1.8884611756309067e-12,1.0,2.500518125891915e-10,0.00010124253458343446
val_diff_000003,6.704520565028321e-14,21.822343826293945,7.97995107859606e-06,1.0000001192092896,-1.1920928955078125e-07,0.6252347230911255,0.9907770752906799,0.6252347230911255,0.9781721830368042,0.0033731055445969105,0.0008164445171132684,0.15501846373081207,0.028573667630553246,0.9818741679191589,0.13395339250564575,0.12276029586791992,0.13395339250564575,0.042301785200834274,0.1895325481891632,0.20567400753498077,0.9541856646537781,0.9123854041099548,0.00229644775390625,0.00229644775390625,0.02574920654296875,0.0942097008228302,0.04792137071490288,0.02437591552734375,1.0563380718231201,6.051981245036586e-07,2.9287865535576607e-12,1.0,3.5652245045092457e-10,0.00010176700016018003
val_diff_000004,8.50865466408765e-14,21.822343826293945,5.599467840511352e-06,1.0000001192092896,-1.1920928955078125e-07,0.5858556032180786,0.9954617619514465,0.5858556032180786,0.9740864038467407,0.0013390807434916496,0.0003100770409218967,0.16428148746490479,0.017609288915991783,0.9927732348442078,0.17642877995967865,0.16792836785316467,0.17642877995967865,0.058351460844278336,0.5074949860572815,0.24156048893928528,0.9520379304885864,0.9084659814834595,0.000965118408203125,0.000965118408203125,0.0103759765625,0.09902152419090271,0.031066516414284706,0.009746551513671875,1.0645792484283447,5.383413963500061e-07,2.6902963363995003e-12,1.0,1.5967227540159001e-10,0.00010079520143335685
val_diff_000005,9.344173384270155e-14,21.822343826293945,7.949457540235016e-06,1.0,0.0,0.7232745885848999,0.7232745885848999,0.9633729457855225,0.9694459438323975,0.0045366473495960236,0.001114491606131196,0.18103498220443726,0.03338415175676346,0.9721487164497375,0.16517876088619232,0.1368848830461502,0.16517876088619232,0.08179733902215958,0.1855923980474472,0.28600236773490906,0.9451448321342468,0.8959949016571045,0.003734588623046875,0.003734588623046875,0.034946441650390625,0.11271011084318161,0.06111136078834534,0.03313446044921875,1.0546857118606567,6.990573524490173e-07,4.11371891412271e-12,0.0,4.831185451692477e-10,0.00010238710092380643
val_diff_000006,7.539262047778425e-14,21.822343826293945,7.93118124420289e-06,1.0,0.0,0.5561344623565674,0.9865782856941223,0.5561344623565674,0.9739639759063721,0.003175465390086174,0.0008984917658381164,0.16462251543998718,0.02997501939535141,0.9815277457237244,0.1197257712483406,0.11380069702863693,0.1197257712483406,0.03662773221731186,0.5358036756515503,0.19138376414775848,0.949973464012146,0.9047138094902039,0.00215911865234375,0.00215911865234375,0.022060394287109375,0.10233230888843536,0.04646642506122589,0.021099090576171875,1.04556143283844,6.103661576162267e-07,3.0699431712022385e-12,1.0,3.63802016289938e-10,0.00010180276149185374
val_diff_000007,8.424317965221792e-14,21.822343826293945,7.544818345195381e-06,0.9999998807907104,1.1920928955078125e-07,0.5608763694763184,0.9724271297454834,0.5608763694763184,0.9628543853759766,0.0035972974728792906,0.0011743593495339155,0.19193144142627716,0.034269072115421295,0.9765937328338623,0.23907706141471863,0.21431300044059753,0.23907706141471863,0.09651550650596619,0.5285618901252747,0.3106694519519806,0.9250926375389099,0.8606255054473877,0.003314971923828125,0.003314971923828125,0.022502899169921875,0.15240266919136047,0.057575881481170654,0.02175140380859375,1.0345492362976074,6.192684622874367e-07,3.8703202968892736e-12,1.0,3.7188657708853157e-10,0.00010184245911659673
val_diff_000008,7.854778432498863e-14,21.822343826293945,8.282238923129626e-06,1.0,0.0,0.5757384896278381,0.9762696027755737,0.5757384896278381,0.9715163111686707,0.0036714349407702684,0.0011192412348464131,0.16278840601444244,0.03345521166920662,0.9779034852981567,0.12574806809425354,0.106356680393219,0.12574806809425354,0.04472627118229866,0.31743431091308594,0.21148589253425598,0.9486464262008667,0.9023095965385437,0.002597808837890625,0.002597808837890625,0.02533721923828125,0.10288563370704651,0.050968803465366364,0.025249481201171875,1.0034748315811157,6.212088692336692e-07,3.33184608375392e-12,1.0,4.3221712320296035e-10,0.00010213822679361328
val_diff_000009,7.388900824739988e-14,21.822343826293945,8.981125574791804e-06,1.0,0.0,0.660711407661438,0.660711407661438,0.9862295985221863,0.9829182624816895,0.0037173235323280096,0.0008267906378023326,0.12812983989715576,0.028754141181707382,0.97650146484375,0.11254257708787918,0.10887829959392548,0.11254257708787918,0.02767092175781727,0.42626726627349854,0.16634581983089447,0.962299644947052,0.9273386597633362,0.002521514892578125,0.002521514892578125,0.03409576416015625,0.07690517604351044,0.05021478608250618,0.032787322998046875,1.0399069786071777,6.811334856138274e-07,4.469298629100615e-12,0.0,5.205025854770895e-10,0.00010256950190523639
